"draw","site_index","cover","site"
1,1,6.40098995163101,"Mahe E Patch"
2,1,6.92098076273418,"Mahe E Patch"
3,1,7.49651839734484,"Mahe E Patch"
4,1,8.11399005846889,"Mahe E Patch"
5,1,8.77118794546501,"Mahe E Patch"
6,1,9.44956068685932,"Mahe E Patch"
7,1,10.1728322925544,"Mahe E Patch"
8,1,10.9349315696151,"Mahe E Patch"
9,1,11.7385754694254,"Mahe E Patch"
10,1,12.6087333494382,"Mahe E Patch"
11,1,13.5494204408671,"Mahe E Patch"
12,1,14.4968289650955,"Mahe E Patch"
13,1,15.5788948205071,"Mahe E Patch"
14,1,16.6187631509302,"Mahe E Patch"
15,1,17.7229495145243,"Mahe E Patch"
16,1,18.8358884492308,"Mahe E Patch"
17,1,20.0233861043936,"Mahe E Patch"
18,1,21.2203966945734,"Mahe E Patch"
19,1,22.4655519059368,"Mahe E Patch"
20,1,23.739831194357,"Mahe E Patch"
21,1,25.0479472074662,"Mahe E Patch"
22,1,26.3759293921351,"Mahe E Patch"
23,1,27.6694414285697,"Mahe E Patch"
24,1,29.0896033579624,"Mahe E Patch"
25,1,30.456493401614,"Mahe E Patch"
26,1,31.8221610454506,"Mahe E Patch"
27,1,33.2025429613064,"Mahe E Patch"
28,1,34.577895837824,"Mahe E Patch"
29,1,35.9479138940786,"Mahe E Patch"
30,1,37.2612024332447,"Mahe E Patch"
31,1,38.5938200818152,"Mahe E Patch"
32,1,39.9064201640775,"Mahe E Patch"
33,1,41.2286899332086,"Mahe E Patch"
34,1,42.5268745192703,"Mahe E Patch"
35,1,43.8024008491162,"Mahe E Patch"
36,1,45.0430456467443,"Mahe E Patch"
37,1,46.2672101255371,"Mahe E Patch"
38,1,47.4578937739823,"Mahe E Patch"
39,1,48.6232388892951,"Mahe E Patch"
40,1,49.747190880546,"Mahe E Patch"
41,1,50.8548690633925,"Mahe E Patch"
42,1,51.9138802078647,"Mahe E Patch"
43,1,52.947378653987,"Mahe E Patch"
44,1,53.9325190055622,"Mahe E Patch"
45,1,54.8920646756224,"Mahe E Patch"
46,1,55.8206269850053,"Mahe E Patch"
47,1,56.7167121223355,"Mahe E Patch"
48,1,57.5677462762912,"Mahe E Patch"
49,1,58.3747223799036,"Mahe E Patch"
50,1,59.1483536738161,"Mahe E Patch"
51,1,59.8812744915479,"Mahe E Patch"
52,1,60.5817413685544,"Mahe E Patch"
53,1,61.267079817127,"Mahe E Patch"
54,1,61.9326498986156,"Mahe E Patch"
55,1,62.5675261263754,"Mahe E Patch"
56,1,63.1649076871843,"Mahe E Patch"
57,1,63.7393134827972,"Mahe E Patch"
58,1,64.2842277877853,"Mahe E Patch"
59,1,64.8035017851519,"Mahe E Patch"
60,1,65.2946011190283,"Mahe E Patch"
61,1,65.7595089775316,"Mahe E Patch"
62,1,66.1942337952111,"Mahe E Patch"
63,1,66.6091198026641,"Mahe E Patch"
64,1,67.0004097343381,"Mahe E Patch"
65,1,67.3715015443599,"Mahe E Patch"
66,1,67.7231111629229,"Mahe E Patch"
67,1,68.0533855885721,"Mahe E Patch"
68,1,68.3666872500551,"Mahe E Patch"
